1. ["agave syrup", "agave nectar", "liquid agave sweetener", "agave sweetener"]
524. ["multigrain high fiber cookie", "high fiber cookie", "whole grain cookie", "fiber rich cookie"]
525. ["oatmeal cookie", "old fashioned oatmeal cookie", "chewy oatmeal cookie", "classic oatmeal cookie"]
526. ["oatmeal sandwich cookie creme filling", "oatmeal creme pie", "oatmeal cream sandwich cookie", "oatmeal sandwich vanilla cream"]
527. ["oatmeal sandwich cookie peanut butter jelly", "pb&j oatmeal sandwich cookie", "oatmeal peanut butter jelly cookie", "oatmeal sandwich PBJ"]
528. ["reduced sugar oatmeal cookie", "low sugar oatmeal cookie", "light sugar oatmeal cookie", "oatmeal cookie reduced sugar"]
529. ["oatmeal chocolate peanut butter no bake cookie", "no bake oatmeal chocolate peanut butter cookie", "no bake peanut butter chocolate oatmeal", "stovetop no bake oatmeal cookie"]
530. ["oatmeal raisin cookie", "raisin oatmeal cookie", "chewy oatmeal raisin", "old fashioned oatmeal raisin"]
531. ["peanut butter cookie", "chewy peanut butter cookie", "classic peanut butter cookie", "soft peanut butter cookie"]
532. ["peanut butter sandwich cookie", "peanut butter creme sandwich", "PB sandwich cookie", "peanut butter cream filled cookie"]
533. ["peanut butter rice cereal no bake cookie", "no bake peanut butter cereal cookie", "peanut butter with rice cereal cookie", "cereal peanut butter treat cookie"]
534. ["sugar free peanut butter cookie", "peanut butter cookie sugar free", "diet peanut butter cookie", "no sugar PB cookie"]
535. ["pumpkin cookie", "pumpkin spice cookie", "soft pumpkin cookie", "pumpkin dessert cookie"]
536. ["raisin cookie", "raisin spice cookie", "soft raisin cookie", "raisin drop cookie"]
537. ["raisin cream sandwich cookie", "raisin creme pie cookie", "raisin sandwich cream filled", "raisin cream filled cookie"]
538. ["rugelach cookie", "chocolate rugelach", "cinnamon rugelach pastry", "walnut rugelach cookie"]
539. ["rum ball cookie", "no bake rum balls", "rum truffle cookie", "holiday rum balls"]
540. ["reduced sugar sandwich cookie", "low sugar sandwich cookie", "light sandwich cookie", "sandwich cookie reduced sugar"]
541. ["sandwich cookie not chocolate or vanilla", "other flavor sandwich cookie", "fruit cream sandwich cookie", "peanut butter sandwich cookie"]
542. ["shortbread cookie", "butter shortbread", "scottish shortbread", "shortbread biscuit"]
543. ["reduced fat shortbread cookie", "light shortbread cookie", "low fat butter cookie", "shortbread reduced fat"]
544. ["sugar free sugar cookie", "plain cookie sugar free", "no sugar sugar cookie", "diet sugar cookie"]
545. ["sugar wafer cookie", "vanilla sugar wafers", "layered wafer cookie", "sugar wafer biscuit"]
546. ["chocolate covered sugar wafer", "sugar wafer chocolate coated", "choco covered wafer cookie", "chocolate dipped sugar wafer"]
547. ["sugar free sugar wafer", "sugar free wafer cookie", "diet wafer cookie", "no sugar sugar wafer"]
548. ["japanese tea cookie", "matcha tea cookie", "butter tea biscuit japanese", "japanese tea biscuit"]
549. ["toffee bar cookie", "toffee cookie bar", "caramel toffee cookie", "toffee crunch bar cookie"]
550. ["vanilla sandwich cookie", "vanilla creme sandwich", "vanilla cream sandwich cookie", "vanilla sandwich biscuit"]
551. ["vanilla sandwich cookie extra filling", "double stuffed vanilla sandwich", "extra creme vanilla sandwich cookie", "double fill vanilla cookie"]
552. ["reduced fat vanilla sandwich cookie", "light vanilla sandwich cookie", "low fat vanilla creme cookie", "vanilla sandwich reduced fat"]
553. ["vanilla wafer cookie", "vanilla wafers", "nilla wafers", "vanilla wafer biscuit"]
554. ["reduced fat vanilla wafer", "light vanilla wafer", "low fat vanilla wafer cookie", "vanilla wafer reduced fat"]
555. ["vanilla with caramel coconut chocolate cookie", "coconut caramel chocolate cookie", "caramel coconut ring cookie", "samoa cookie"]
556. ["peanut butter filled chocolate coated cookie", "chocolate coated peanut butter cookie", "peanut butter patties cookie", "tagalongs cookie"]
557. ["corn chips fritos", "plain corn chips", "original corn chips", "fritos classic"]
558. ["corn dog", "hot dog on a stick", "frozen corn dog", "corn dog snack"]
559. ["corn nuts", "roasted corn kernels", "crunchy corn snack", "toasted corn nuts"]
560. ["corn oil", "maize oil", "vegetable oil corn", "cooking oil corn"]
561. ["corn syrup", "light corn syrup", "karo style corn syrup", "glucose corn syrup"]
562. ["canned corn cooked no fat", "canned sweet corn no added fat", "corn canned drained cooked", "canned corn heated plain"]
563. ["canned corn reduced sodium cooked", "low sodium canned corn", "reduced salt canned corn cooked", "canned corn lite salt"]
564. ["creamed corn", "cream style corn", "canned creamed corn", "creamed sweet corn"]
565. ["corn raw", "fresh corn kernels", "raw corn on the cob", "uncooked sweet corn"]
566. ["cornbread muffin", "cornbread stick", "cornbread round", "corn muffin"]
567. ["cornbread stuffing", "cornbread dressing", "stuffing cornbread mix", "southern cornbread dressing"]
568. ["cornbread prepared from mix", "boxed cornbread prepared", "mix cornbread baked", "jiffy style cornbread"]
569. ["corned beef hash", "canned corned beef hash", "hash corned beef", "corned beef and potatoes hash"]
570. ["corned beef patty", "corned beef burger patty", "fried corned beef patty", "corned beef cake"]
571. ["cottonseed oil", "cotton seed oil", "vegetable oil cottonseed", "frying oil cottonseed"]
572. ["crab", "crab meat", "whole crab", "steamed crab"]
573. ["canned crab", "canned crab meat", "crab meat canned", "pasteurized crab in can"]
574. ["cracker chips", "crisp cracker chips", "popped cracker crisps", "thin cracker chips"]
575. ["cuban crackers", "galletas cubanas", "cuban soda crackers", "cuban style crackers"]
576. ["crackers generic", "assorted crackers", "mixed crackers", "generic crackers"]
577. ["butter crackers ritz", "ritz style butter crackers", "buttery round crackers", "butter flavor crackers"]
578. ["flavored butter crackers", "butter crackers garlic", "buttery crackers flavored", "seasoned butter crackers"]
579. ["plain butter crackers", "butter crackers original", "buttery crackers plain", "round butter crackers"]
580. ["reduced fat butter crackers", "light butter crackers", "low fat buttery crackers", "butter crackers reduced fat"]
581. ["reduced sodium butter crackers", "low sodium butter crackers", "butter crackers reduced salt", "buttery crackers low salt"]
582. ["cheese crackers", "cheddar cheese crackers", "cheese flavored crackers", "cheese snack crackers"]
583. ["cheez it crackers", "cheezits", "cheddar cracker squares", "cheese crackers cheez it"]
584. ["goldfish cheese crackers", "cheddar goldfish", "goldfish crackers", "cheese fish crackers"]
585. ["reduced fat cheese crackers", "light cheese crackers", "low fat cheese flavored crackers", "cheese crackers reduced fat"]
586. ["reduced sodium cheese crackers", "low sodium cheese crackers", "cheese crackers reduced salt", "lightly salted cheese crackers"]
587. ["whole grain cheese crackers", "whole wheat cheese crackers", "cheese crackers whole grain", "cheddar whole grain crackers"]
588. ["crispbread crackers", "rye crispbread", "scandinavian crispbread", "knackebrod style cracker"]
589. ["gluten free crackers flavored", "gf crackers flavored", "gluten free seasoned crackers", "gluten free flavored crisps"]
590. ["gluten free crackers plain", "gf crackers plain", "plain gluten free crackers", "wheat free crackers"]
591. ["matzo crackers", "matzah", "matzo sheets", "unleavened bread cracker"]
592. ["reduced sodium matzo", "low sodium matzo", "lightly salted matzah", "matzo reduced salt"]
593. ["milk crackers", "galletas de leche", "milk flavored crackers", "sweet milk crackers"]
594. ["multigrain crackers", "multi grain crackers", "whole grain mixed crackers", "seedy multigrain crackers"]
595. ["oatmeal crackers", "oat crackers", "oat biscuit", "oatmeal crisp crackers"]
596. ["oyster crackers", "soup oyster crackers", "small round crackers", "oyster soup crackers"]
597. ["rice crackers", "asian rice crackers", "japanese rice crackers", "senbei rice crackers"]
598. ["saltine crackers", "soda crackers", "saltines", "square saltine crackers"]
599. ["multigrain saltine crackers", "saltine crackers multigrain", "saltines whole grain", "multi grain soda crackers"]
600. ["reduced fat saltine crackers", "low fat saltines", "light saltine crackers", "saltines reduced fat"]
601. ["sandwich crackers", "filled sandwich crackers", "cracker sandwiches", "stuffed snack crackers"]
602. ["sandwich crackers cheese filled", "cheese cracker sandwiches", "cheese filling crackers", "cheese filled snack crackers"]
603. ["peanut butter sandwich crackers", "pb sandwich crackers", "peanut butter filled crackers", "peanut butter cracker sandwiches"]
604. ["reduced fat peanut butter sandwich crackers", "low fat peanut butter filled crackers", "light pb sandwich crackers", "peanut butter cracker reduced fat"]
605. ["water crackers", "table water crackers", "plain water crackers", "thin table crackers"]
606. ["reduced fat wheat crackers", "low fat wheat crackers", "light wheat crackers", "wheat snack crackers reduced fat"]
607. ["reduced sodium wheat crackers", "low sodium wheat crackers", "wheat crackers reduced salt", "lightly salted wheat crackers"]
608. ["whole grain peanut butter sandwich crackers", "whole grain pb sandwich crackers", "whole wheat peanut butter crackers", "whole grain filled crackers peanut butter"]
609. ["wonton crackers", "fried wonton strips", "wonton soup crackers", "crunchy wonton strips"]
610. ["reduced fat woven wheat crackers", "low fat woven wheat crackers", "light woven wheat crackers", "woven wheat crackers reduced fat"]
611. ["reduced sodium woven wheat crackers", "low sodium woven wheat crackers", "woven wheat crackers reduced salt", "lightly salted woven wheat crackers"]
612. ["dried cranberries", "cranberries dried sweetened", "craisins", "dried cranberry fruit"]
613. ["fresh cranberries", "raw cranberries", "whole cranberries", "cranberries raw fruit"]
614. ["cranberry juice blend 100% with calcium", "100% cranberry juice blend calcium added", "cranberry juice with calcium", "juice blend cranberry calcium fortified"]
615. ["cranberry juice drink high vitamin c", "cranberry cocktail added vitamin c", "cranberry drink high c", "cranberry beverage vitamin c added"]
616. ["cranberry juice drink light high vitamin c", "diet cranberry cocktail high c", "light cranberry drink vitamin c", "low calorie cranberry beverage high c"]
617. ["100% cranberry juice not blend", "pure cranberry juice 100 percent", "cranberry juice 100 no blend", "unsweetened cranberry juice 100%"]
618. ["cranberry sauce", "jellied cranberry sauce", "whole berry cranberry sauce", "canned cranberry sauce"]
619. ["crayfish cooked", "crawfish cooked", "crawdads cooked", "boiled crawfish"]
620. ["cream cheese fat free","fat free cream cheese","nonfat cream cheese","zero fat cream cheese"]
621. ["cream cheese plain","regular cream cheese","original cream cheese","philadelphia cream cheese"]
622. ["cream puff","eclair custard filled","cream filled eclair iced","custard filled pastry"]
623. ["cream puff plain","cream puff no filling","unfilled cream puff","choux pastry shell"]
624. ["half and half","half & half","coffee creamer half and half","light cream"]
625. ["fat free half and half","nonfat half & half","zero fat half and half","ff half and half"]
626. ["heavy cream","heavy whipping cream","whipping cream heavy","36% heavy cream"]
627. ["light cream","table cream","coffee cream","20% light cream"]
628. ["creamsicle","orange creamsicle","creamsicle bar","dreamsicle"]
629. ["crepe","plain crepe","savory crepe","sweet crepe"]
630. ["cress raw","garden cress","cress greens","cress sprouts"]
631. ["croissant","butter croissant","plain croissant","bakery croissant"]
632. ["cheese croissant","croissant with cheese","cheddar croissant","cheese filled croissant"]
633. ["croutons","salad croutons","garlic croutons","seasoned croutons"]
634. ["cucumber slices","cucumber for sandwich","sliced cucumber","cucumber topping"]
635. ["cucumber raw","raw cucumber","cucumber with peel","peeled cucumber"]
636. ["dried currants","zante currants","black currants dried","currants"]
637. ["dandelion greens raw","dandelion leaves","wild dandelion greens","dandelion greens"]
638. ["danish pastry","plain danish","spiced danish","cinnamon danish"]
639. ["cheese danish","cream cheese danish","danish with cheese","cheese pastry"]
640. ["fruit danish","danish with fruit","apple danish","cherry danish"]
641. ["dark chocolate","dark chocolate candy","bittersweet chocolate","70% dark chocolate"]
642. ["dark chocolate with nuts","dark chocolate almond","nutty dark chocolate","dark chocolate candy nuts"]
643. ["dark chocolate candy assorted","dark chocolate pieces","dark chocolate bites","dark chocolate confection"]
644. ["dates","medjool dates","deglet noor dates","pitted dates"]
645. ["dip","chip dip","veggie dip","cream dip"]
646. ["mcdonalds double cheeseburger","double cheeseburger mcdonalds","mcd double cheese","mcdonald's double cheeseburger"]
647. ["plain cake donut","cake doughnut","old fashioned donut","cake donut"]
648. ["yeast donut","glazed donut","raised donut","yeast doughnut"]
649. ["dragon fruit","pitaya","pitahaya","dragonfruit"]
650. ["duck sauce","plum sauce","sweet and sour duck sauce","chinese duck sauce"]
651. ["dulce de leche","milk caramel","caramel spread","arequipe"]
652. ["egg foo yung","egg foo young","chinese omelet","egg fu yung"]
653. ["egg white raw","raw egg whites","egg white only","uncooked egg whites"]
654. ["boiled egg","hard boiled egg","poached egg","whole egg cooked"]
655. ["raw egg","whole egg raw","uncooked egg","fresh egg raw"]
656. ["egg yolk raw","raw egg yolk","yolk only","uncooked yolk"]
657. ["eggnog","holiday eggnog","eggnog drink","dairy eggnog"]
658. ["cooked eggplant ingredient","eggplant cooked in recipe","roasted eggplant pieces","sauteed eggplant ingredient"]
659. ["eggplant raw","raw eggplant","aubergine raw","fresh eggplant"]
660. ["empanada","beef empanada","chicken empanada","fried empanada"]
661. ["green enchilada sauce","salsa verde enchilada","tomatillo enchilada sauce","canned green enchilada sauce"]
662. ["red enchilada sauce","enchilada sauce red","ancho red sauce","canned red enchilada sauce"]
663. ["enchilada","cheese enchilada","chicken enchilada","beef enchilada"]
664. ["energy drink","energy beverage","caffeinated energy drink","energy soda"]
665. ["full throttle energy","energy drink full throttle","full throttle original","full throttle can"]
666. ["monster energy","monster original","monster energy drink","monster green can"]
667. ["amp energy","mountain dew amp","amp energy drink","amp original"]
668. ["nos energy","nos energy drink","nos original","nos can"]
669. ["no fear motherload","no fear energy motherload","motherload energy drink","no fear big can"]
670. ["no fear energy","no fear energy drink","no fear original","no fear can"]
671. ["cran energy","ocean spray cran energy","cran-energy juice drink","ocean spray energy"]
672. ["red bull","redbull energy","red bull original","red bull can"]
673. ["rockstar energy","rockstar original","rockstar energy drink","rockstar can"]
674. ["sobe energize","sobe energy drink","energy juice drink","sobe energize bottle"]
675. ["vault energy","vault drink","vault soda","vault energy drink"]
676. ["xs gold plus","xs energy gold plus","xs gold energy drink","xs gold can"]
677. ["xs energy","xs energy drink","xs original","xs can"]
678. ["monster low calorie","monster lo carb","low cal monster energy","monster lo-carb"]
679. ["monster sugar free","monster zero sugar","monster ultra","monster sf energy"]
680. ["amp sugar free","amp zero sugar","mountain dew amp sugar free","amp sf energy"]
681. ["no fear sugar free","no fear zero","no fear sf energy","no fear zero sugar"]
682. ["rockstar sugar free","rockstar zero sugar","rockstar pure zero","rockstar sf energy"]
683. ["vault sugar free","vault zero","vault sf energy","vault diet"]
684. ["nos sugar free","nos zero sugar","nos sf energy","nos zero"]
685. ["red bull sugar free","red bull zero sugar","rb sugar free","red bull zero"]
686. ["fennel bulb raw","raw fennel bulb","anise bulb","fresh fennel"]
687. ["dried figs","figs dried","mission figs dried","turkish dried figs"]
688. ["fig fresh","raw figs","fresh figs","black mission fig"]
689. ["fish sandwich","fried fish sandwich","fish fillet sandwich","fast food fish sandwich"]
690. ["fish sauce","nuoc mam","nam pla","thai fish sauce"]
691. ["anchovies","anchovy fillets","canned anchovies","anchovy fish"]
692. ["bass fish","largemouth bass","smallmouth bass","sea bass"]
693. ["canned fish","tinned fish","fish in can","canned seafood"]
694. ["catfish","catfish fillet","fried catfish","baked catfish"]
695. ["cod","cod fillet","atlantic cod","pacific cod"]
696. ["flounder","flounder fillet","summer flounder","fluke fish"]
697. ["haddock","haddock fillet","smoked haddock","baked haddock"]
698. ["mackerel","mackerel fillet","spanish mackerel","atlantic mackerel"]
699. ["canned mackerel","mackerel in oil","tinned mackerel","mackerel canned"]
700. ["perch fish","yellow perch","white perch","perch fillet"]
701. ["pickled fish","pickled herring","marinated herring","herring in brine"]
702. ["pompano fish","pompano","florida pompano","pompano fillet"]
703. ["salmon","salmon fillet","atlantic salmon","pacific salmon"]
704. ["canned salmon","pink salmon canned","red salmon canned","tinned salmon"]
705. ["smoked salmon","lox","nova lox","hot smoked salmon"]
706. ["canned sardines","sardines in oil","tinned sardines","sardines in water"]
707. ["smoked fish","smoked whitefish","smoked trout","smoked mackerel"]
708. ["fish sticks","fish fingers","frozen fish sticks","breaded fish sticks"]
709. ["tilapia","tilapia fillet","grilled tilapia","fried tilapia"]
710. ["trout","rainbow trout","lake trout","trout fillet"]
711. ["tuna","tuna steak","albacore tuna","yellowfin tuna"]
712. ["canned tuna","tuna in water","tuna in oil","albacore tuna canned"]
713. ["raw tuna","tuna sashimi","ahi tuna raw","raw tuna steak"]
714. ["white fish mixed","mixed whitefish","white fish fillet","mild white fish"]
715. ["whiting","whiting fillet","fried whiting","baked whiting"]
716. ["flax seeds","flaxseed","ground flaxseed","whole flaxseed"]
717. ["flaxseed oil","flax oil","linseed oil","cold pressed flax oil"]
718. ["electrolyte solution","oral rehydration solution","sports rehydration drink","pedialyte"]
719. ["focaccia","plain focaccia","italian focaccia bread","focaccia bread"]
720. ["freezer pop","ice pop","popsicle","freeze pop"]
721. ["french dressing","catalina dressing","salad dressing french","catalina salad dressing"]
722. ["fat free french dressing","fat free catalina","ff french dressing","zero fat catalina dressing"]
723. ["light french dressing","light catalina dressing","reduced fat french","lite catalina"]
724. ["french toast sticks","fast food french toast sticks","restaurant french toast sticks","breakfast sticks"]
725. ["french toast","homemade french toast","restaurant french toast","french toast slice"]
726. ["frozen dinner","tv dinner","frozen entree","microwave meal"]
727. ["frozen yogurt bar chocolate","chocolate froyo bar","chocolate yogurt bar","froyo bar chocolate"]
728. ["frozen yogurt bar vanilla","vanilla froyo bar","vanilla yogurt bar","froyo bar vanilla"]
729. ["frozen yogurt","froyo","frozen yogurt cup","soft serve frozen yogurt"]
730. ["chocolate frozen yogurt","chocolate froyo","froyo chocolate","chocolate soft serve yogurt"]
731. ["vanilla soft serve frozen yogurt","vanilla froyo soft serve","soft serve yogurt vanilla","vanilla frozen yogurt"]
732. ["vanilla frozen yogurt","vanilla froyo","vanilla yogurt frozen","froyo vanilla"]
733. ["bottled fruit and vegetable smoothie","green smoothie bottle","bottled smoothie","veggie fruit smoothie bottled"]
734. ["fruit butter","apple butter","pumpkin butter","pear butter"]
735. ["fruit drink","fruit flavored drink","juice drink","fruit punch"]
736. ["powdered drink mix","fruit drink powder","dry drink mix","powdered juice mix"]
737. ["diet drink mix powder","sugar free drink mix powder","zero sugar drink mix","sf powdered drink mix"]
738. ["fruit drink high vitamin c","vitamin c juice drink","fortified fruit drink","high c fruit punch"]
739. ["vitamin c drink mix powder","high c powdered drink mix","fortified drink mix powder","powdered fruit drink high c"]
740. ["100% juice blend","pure juice blend","mixed fruit juice 100%","no sugar added juice blend"]
741. ["100% citrus juice blend","citrus juice blend 100%","mixed citrus juice","pure citrus blend"]
742. ["fruit juice drink","juice cocktail","juice beverage","fruit punch drink"]
743. ["capri sun drink","caprisun pouch","capri sun fruit drink","capri sun juice"]
744. ["sunny d","sunny delight","sunny d drink","sunny d citrus"]
745. ["sunny d with calcium","sunny d added calcium","sunny delight calcium","sunny d calcium drink"]
746. ["light juice drink","low calorie juice drink","diet juice beverage","lite fruit drink"]
747. ["juice drink high vitamin c","vitamin c fruit drink","high c juice drink","fortified juice drink"]
748. ["light high vitamin c drink","diet high c juice drink","low calorie vitamin c drink","lite fortified juice drink"]
749. ["acai juice blend","acai berry juice","acai blend drink","acai mixed juice"]
750. ["fruit nectar","peach nectar","apricot nectar","pear nectar"]
751. ["fruit smoothie with dairy","yogurt smoothie drink","dairy fruit smoothie","milk based smoothie"]
752. ["bottled smoothie","bottled fruit smoothie","smoothie bottle","ready to drink smoothie"]
753. ["fudgesicle light","light fudge bar","diet fudge pop","light chocolate ice pop"]
754. ["garlic bread","garlic toast","buttery garlic bread","garlic baguette"]
755. ["frozen garlic bread","garlic toast frozen","frozen garlic baguette","bake at home garlic bread"]
756. ["garlic raw","raw garlic","fresh garlic","garlic cloves"]
757. ["gelatin dessert","jello dessert","fruit gelatin","flavored gelatin"]
758. ["sugar free gelatin","sf jello","diet gelatin dessert","zero sugar gelatin"]
759. ["chocolate gelato","gelato chocolate","italian ice cream chocolate","dark chocolate gelato"]
760. ["vanilla gelato","gelato vanilla","italian ice cream vanilla","classic vanilla gelato"]
761. ["general tso chicken","general tsos chicken","general gau chicken","general tao chicken"]
762. ["ghee","clarified butter","ghee butter","desi ghee"]
763. ["gin","dry gin","gin liquor","distilled gin"]
764. ["pickled ginger","sushi ginger","gari","pink pickled ginger"]
765. ["goat milk","goats milk","goat's milk","fresh goat milk"]
766. ["graham crackers","graham cracker","honey graham crackers","plain graham crackers"]
767. ["teddy grahams","teddy graham crackers","teddy grahams honey","teddy grahams cinnamon"]
768. ["chocolate covered graham crackers","chocolate grahams","choco covered grahams","chocolate coated graham cracker"]
769. ["reduced fat graham crackers","low fat grahams","lite graham crackers","lower fat graham crackers"]
770. ["graham cracker sandwich","graham crackers with filling","filled graham sandwich","marshmallow graham sandwich"]
771. ["grape juice 100% with calcium","100% grape juice calcium","fortified grape juice","grape juice with calcium"]
772. ["fresh squeezed grapefruit juice","grapefruit juice fresh","100% grapefruit juice fresh","squeezed grapefruit juice"]
773. ["grapefruit juice 100% with calcium","100% grapefruit juice calcium","fortified grapefruit juice","grapefruit juice with calcium"]
774. ["canned grapefruit","grapefruit segments canned","grapefruit in juice","tinned grapefruit"]
775. ["grapefruit raw","fresh grapefruit","ruby red grapefruit","white grapefruit"]
776. ["gravy","brown gravy","pan gravy","homestyle gravy"]
777. ["beef gravy","brown beef gravy","roast beef gravy","beef pan gravy"]
778. ["fat free beef gravy","ff beef gravy","beef gravy fat free","beef gravy zero fat"]
779. ["poultry gravy","chicken gravy","turkey gravy","white gravy poultry"]
780. ["fat free poultry gravy","ff chicken gravy","turkey gravy fat free","poultry gravy zero fat"]
781. ["vegetarian gravy","mushroom gravy","veggie gravy","meatless gravy"]
782. ["canned green beans no added fat","green beans canned","canned string beans","green beans canned drained"]
783. ["low sodium canned green beans","reduced sodium green beans","no salt added green beans canned","green beans canned reduced sodium"]
784. ["cooked green beans ingredient","green beans cooked for recipe","chopped cooked green beans","sauteed green beans ingredient"]
785. ["green beans raw","raw green beans","string beans raw","snap beans raw"]
786. ["canned peas","green peas canned","peas canned no added fat","canned sweet peas"]
787. ["low sodium canned peas","reduced sodium peas canned","no salt added peas canned","canned sweet peas reduced sodium"]
788. ["green peas raw","raw peas","fresh peas","garden peas raw"]
789. ["cooked green pepper ingredient","green bell pepper cooked","sauteed green pepper ingredient","green pepper for recipe"]
790. ["guava nectar","guava drink","canned guava nectar","bottled guava nectar"]
791. ["guava raw","fresh guava","ripe guava","guava fruit"]
792. ["ham loaf luncheon meat","ham loaf","luncheon meat ham loaf","sliced ham loaf"]
793. ["ham salad spread","ham spread","deviled ham","ham sandwich spread"]
794. ["canned ham","ham in can","tinned ham","cooked ham canned"]
795. ["ham for seasoning vegetables","seasoning ham pieces","ham hocks","ham flavoring bits"]
796. ["ground ham","minced ham","ham crumble","finely ground ham"]
797. ["deli ham","prepackaged ham","ham lunch meat","sliced ham deli"]
798. ["reduced sodium ham","low sodium deli ham","less salt ham slices","ham lunch meat reduced sodium"]
799. ["prosciutto","prosciutto ham","parma ham","italian prosciutto"]
800. ["mcdonalds hamburger","mcd hamburger","mcdonald's burger","mcdonalds burger"]
801. ["hamburger","beef burger","hamburger patty","ground beef burger"]
802. ["hard cider","apple cider alcoholic","alcoholic cider","cider beer"]
803. ["hazelnuts","filberts","raw hazelnuts","roasted hazelnuts"]
804. ["head cheese","souse","brawn","pork head cheese"]
805. ["hoisin sauce","hoisin","chinese hoisin","sweet hoisin sauce"]
806. ["honey","raw honey","clover honey","wildflower honey"]
807. ["honey mustard dressing","honey mustard sauce","salad dressing honey mustard","honey mustard"]
808. ["fat free honey mustard dressing","honey mustard fat free","ff honey mustard","zero fat honey mustard dressing"]
809. ["light honey mustard dressing","low fat honey mustard","reduced fat honey mustard","lite honey mustard"]
810. ["honeydew melon raw","honeydew","fresh honeydew","honeydew slices"]
811. ["horseradish","prepared horseradish","grated horseradish","fresh horseradish"]
812. ["horseradish sauce","creamy horseradish","horseradish cream sauce","prepared horseradish sauce"]
813. ["hot dog","frankfurter","wiener","hotdog"]
814. ["beef hot dog","all beef hot dog","beef frank","beef wiener"]
815. ["meat and poultry hot dog","beef and pork hot dog","mixed meat hot dog","regular hot dog"]
816. ["turkey hot dog","turkey frank","turkey wiener","poultry hot dog"]
817. ["vegetarian hot dog","veggie dog","meatless hot dog","plant based hot dog"]
818. ["hot pepper sauce","hot sauce","chili sauce","pepper sauce"]
819. ["hummus","plain hummus","classic hummus","chickpea dip"]
820. ["hunan beef","hunan style beef","spicy hunan beef","chinese hunan beef"]
821. ["hush puppy","hushpuppy","fried hush puppy","cornbread hush puppy"]
822. ["ice cream bar vanilla", "vanilla ice cream bar", "vanilla bar ice cream", "frozen dessert bar vanilla"]
823. ["vanilla ice cream bar chocolate coated", "chocolate covered vanilla ice cream bar", "vanilla chocolate dipped ice cream bar", "choco coated vanilla bar"]
824. ["ice cream candy bar", "candy bar ice cream", "frozen candy bar", "ice cream bar candy"]
825. ["vanilla ice cream cone prepackaged", "prepackaged vanilla ice cream cone", "vanilla cone ice cream pack", "boxed vanilla ice cream cone"]
826. ["ice cream sundae", "sundae ice cream", "frozen sundae", "dessert sundae"]
827. ["chocolate ice cream", "ice cream chocolate", "frozen chocolate ice cream", "chocolate flavored ice cream"]
828. ["soft serve chocolate", "chocolate soft serve ice cream", "soft serve ice cream chocolate", "choc soft serve"]
829. ["soft serve vanilla", "vanilla soft serve ice cream", "soft serve ice cream vanilla", "vanilla soft serve cone"]
830. ["vanilla ice cream", "ice cream vanilla", "french vanilla ice cream", "classic vanilla ice cream"]
831. ["chocolate icing", "chocolate frosting", "cake icing chocolate", "chocolate cake frosting"]
832. ["white icing", "vanilla frosting", "buttercream icing", "white cake frosting"]
833. ["imitation cheese", "cheese substitute", "non dairy cheese", "cheese alternative"]
834. ["imitation crab", "krab meat", "surimi crab", "fake crab meat"]
835. ["similac alimentum powder mixed with water", "similac alimentum prepared formula", "infant formula similac alimentum powder", "hypoallergenic formula alimentum"]
836. ["similac alimentum ready to feed", "alimentum rtf", "infant formula similac alimentum liquid", "similac alimentum ready to drink"]
837. ["similac for diarrhea", "infant formula diarrhea", "similac diarrhea formula", "electrolyte infant formula"]
838. ["italian ice", "water ice", "lemon italian ice", "shaved ice italian"]
839. ["italian ice no sugar added", "sugar free italian ice", "diet italian ice", "light italian ice"]
840. ["italian dressing fat free", "fat free italian dressing", "lite italian dressing no fat", "zero fat italian dressing"]
841. ["italian dressing light", "reduced fat italian dressing", "lite italian dressing", "low calorie italian dressing"]
842. ["italian dressing oil and vinegar", "vinaigrette italian", "italian vinegar and oil", "italian salad dressing classic"]
843. ["italian sausage", "pork italian sausage", "sweet italian sausage", "hot italian sausage"]
844. ["jam", "fruit jam", "breakfast jam", "spreadable jam"]
845. ["fruit juice sweetened jam", "fruit juice sweetened jelly", "no sugar added jam", "naturally sweetened jelly"]
846. ["reduced sugar jam", "reduced sugar jelly", "low sugar jam", "less sugar jelly"]
847. ["sugar free jam", "sugar free jelly", "diet jelly", "no sugar jam"]
848. ["jelly", "grape jelly", "fruit jelly", "sandwich jelly"]
849. ["jicama raw", "fresh jicama", "raw jicama sticks", "mexican turnip jicama"]
850. ["kale raw", "fresh kale", "raw kale salad", "kale leaves"]
851. ["reduced sodium ketchup", "low sodium ketchup", "less salt ketchup", "light salt ketchup"]
852. ["kidney beans", "red kidney beans", "canned kidney beans", "dry kidney beans"]
853. ["kimchi", "kimchee", "spicy fermented cabbage", "korean kimchi"]
854. ["kiwi fruit raw", "fresh kiwi", "green kiwi", "kiwifruit"]
855. ["knockwurst", "knackwurst", "german knockwurst", "knockwurst sausage"]
856. ["kohlrabi raw", "fresh kohlrabi", "raw kohlrabi slices", "german turnip kohlrabi"]
857. ["kumquat raw", "fresh kumquat", "kumquats", "mini citrus kumquat"]
858. ["kung pao chicken", "kungpao chicken", "gong bao chicken", "spicy kung pao"]
859. ["lard", "pork lard", "rendered lard", "manteca lard"]
860. ["lasagna with meat", "meat lasagna", "beef lasagna", "meat sauce lasagna"]
861. ["canned meat lasagna", "lasagna with meat canned", "ready to eat canned lasagna", "canned beef lasagna"]
